listing_id,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,seller_type,city,state,country,Adaptive Cruise Control,Alloy Wheels,Android Auto,Apple CarPlay,Backup Camera,Blind Spot Monitor,Bluetooth,Fog Lights,Heated Seats,Keyless Entry,LED Headlights,Lane Keep Assist,Leather Seats,Navigation,Panoramic Roof,Parking Sensors,Push Button Start,Sunroof,Ventilated Seats,Wireless Charging
11,Toyota,Camry,2023,Premium,Crossover,Petrol,Automatic,25103,22387,excellent,Dealer,Port Julie,BC,Canada,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True
12,Skoda,Octavia,2014,LTZ,Crossover,Petrol,Automatic,235126,1738,fair,Certified Pre-Owned,Bidar,RJ,India,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
13,Chevrolet,Malibu,2024,Touring,Convertible,Petrol,Manual,8796,41256,new,Dealer,New Kevinfort,SA,Australia,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False
14,Kia,Sorento,2023,XSE,Van,Petrol,Automatic,20300,22175,excellent,Private Party,Martinburgh,IL,US,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
15,Tata,Nexon,2023,EX,MPV,Diesel,Automatic,31363,13669,excellent,Dealer,North Katherine,TAS,Australia,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,False
16,Audi,A6,2011,Platinum,Crossover,Petrol,Automatic,144829,1926,good,Private Party,South Matthew,NC,US,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
17,Kia,Sorento,2025,Limited,Hatchback,Diesel,AMT,0,23304,excellent,Private Party,Port Debramouth,TAS,Australia,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False
18,Chevrolet,Silverado,2020,XLE,MPV,Petrol,Automatic,76339,9226,good,Private Party,Vincent,ARA,France,False,False,True,False,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True
19,Tata,Altroz,2023,Platinum,Van,Petrol,AMT,26945,14684,excellent,Private Party,Solomonberg,ON,Canada,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True
20,Honda,Accord,2016,Sport,Sedan,Petrol,Manual,69929,4716,excellent,Dealer,East London,KZN,South Africa,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
21,Ford,F-150,2021,XLE,Convertible,Petrol,DCT,65873,12625,fair,Dealer,Pretoria,NC,South Africa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Maruti,Dzire,2016,Performance,Sedan,Petrol,Automatic,188669,1854,good,Private Party,Fischer,BFC,France,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False
23,Kia,Sonet,2018,XSE,SUV,Electric,Automatic,126531,8648,excellent,Certified Pre-Owned,Jülich,ST,Germany,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,True,False,True,True,False
24,Ford,Maverick,2015,Long Range,Crossover,Hybrid,Automatic,257067,2412,good,Dealer,Bruchsal,BY,Germany,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
25,Audi,A4,2020,Base,Pickup,Petrol,Manual,82274,18479,good,Certified Pre-Owned,South Christine,CA,US,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
26,BMW,3 Series,2016,LX,Crossover,Hybrid,Automatic,193574,5229,good,Dealer,Oranienburg,BB,Germany,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Audi,Q3,2021,L,Convertible,Petrol,CVT,48012,28849,excellent,Certified Pre-Owned,New Justin,WA,Australia,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
28,Skoda,Octavia,2022,Titanium,MPV,Plug-in Hybrid,Automatic,34276,13596,fair,Private Party,Lake Timothy,BC,Canada,True,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True
29,Toyota,Highlander,2018,,MPV,Electric,Automatic,81836,6755,excellent,Dealer,Port Carol,ENG,UK,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
30,BMW,5 Series,2017,Long Range,MPV,Petrol,CVT,196909,5035,good,Dealer,Gifhorn,RP,Germany,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False
31,Mercedes-Benz,GLA,2018,Base,Van,Plug-in Hybrid,Manual,41899,14723,excellent,Certified Pre-Owned,Piercemouth,NJ,US,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False
32,Chevrolet,Equinox,2021,,Van,Petrol,Automatic,63040,11593,excellent,Dealer,Johnmouth,QC,Canada,False,True,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False,True,False
33,Tesla,Model 3,2011,XSE,MPV,Plug-in Hybrid,Automatic,226514,1793,good,Certified Pre-Owned,Hamon,PACA,France,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False
34,Volkswagen,Taigun,2017,LT,Pickup,Electric,Automatic,44122,10902,excellent,Dealer,Bloemfontein,NC,South Africa,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
35,Tesla,Model Y,2022,Titanium,Hatchback,Hybrid,Manual,44429,16352,,Private Party,Durban,FS,South Africa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Skoda,Octavia,2020,LTZ,Pickup,Petrol,CVT,134201,11509,good,Dealer,Sigmaringen,SH,Germany,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
37,Nissan,Magnite,2012,Performance,Convertible,Electric,AMT,236029,2346,like new,Dealer,Viersen,HE,Germany,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,True,True
38,Ford,F-150,2022,LT,Convertible,Petrol,Manual,56167,22100,excellent,Dealer,Bhilai,WB,India,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True
39,Chevrolet,Equinox,2022,Trend,Van,Petrol,Automatic,32353,12587,fair,Dealer,Williamstown,NT,Australia,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,True,False
40,Mercedes-Benz,GLA,2012,XSE,Hatchback,Petrol,Manual,339356,1664,excellent,Dealer,Neustadtner Waldnaab,NI,Germany,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True
41,Mahindra,Bolero,2013,,SUV,Petrol,CVT,197432,1234,fair,Private Party,Bailly,HDF,France,False,False,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False
42,Hyundai,Creta,2015,XSE,MPV,Petrol,Manual,193706,2342,good,Private Party,Sainte AlfredVille,NAQ,France,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
43,BMW,5 Series,2016,XLE,Hatchback,Petrol,Automatic,182471,3872,good,Private Party,Besson,HDF,France,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False
44,Mercedes-Benz,GLA,2006,,Crossover,Petrol,Automatic,246701,1253,salvage,Dealer,Matthewport,NC,US,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True
45,Chevrolet,Trax,2025,Limited,Pickup,Plug-in Hybrid,Automatic,0,53315,excellent,Dealer,Deniseland,ACT,Australia,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
46,Skoda,Kushaq,2011,Performance,Convertible,Petrol,DCT,172400,1864,excellent,Dealer,South Jonathanstad,IL,US,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Toyota,Tacoma,2014,Long Range,Sedan,Petrol,Manual,163127,1991,excellent,Certified Pre-Owned,New Ellie,NIR,UK,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
48,Mahindra,XUV700,2015,L,Hatchback,Petrol,Automatic,222586,1168,,Dealer,豊島区,Tokyo,Japan,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Chevrolet,Trax,2017,LX,Coupe,Diesel,Automatic,77722,7524,new,Private Party,Morganfurt,AZ,US,False,False,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False
50,Tesla,Model Y,2017,Performance,Crossover,Petrol,Manual,121829,6683,excellent,Dealer,Câmara,PR,Brazil,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False
51,Ford,Explorer,2015,Trend,Van,Petrol,Automatic,237718,2324,good,Private Party,Etawah,PB,India,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
52,BMW,X5,2019,,Sedan,Diesel,Manual,93051,9810,excellent,Dealer,Lake Sabrina,MB,Canada,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
53,Tata,Altroz,2021,Touring,Crossover,CNG,Manual,79671,9345,good,Dealer,Serampore,RJ,India,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
54,Chevrolet,Malibu,2023,Limited,Pickup,Petrol,Automatic,28313,30968,excellent,Dealer,安房郡鋸南町,Kyoto,Japan,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True
55,Volkswagen,Taigun,2013,,Hatchback,Electric,CVT,149055,1322,like new,Dealer,Petersontown,NT,Australia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Mahindra,XUV700,2013,SE,Pickup,Electric,Automatic,171623,2333,excellent,Private Party,江東区,Aichi,Japan,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True
57,Maruti,Dzire,2021,Limited,Hatchback,Diesel,Manual,59040,5531,good,Dealer,Johannesburg,GP,South Africa,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False
58,Mahindra,Bolero,2019,LT,Convertible,Plug-in Hybrid,CVT,76260,10935,excellent,Dealer,BlinBourg,BFC,France,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False,False,True,True,False
59,Tata,Altroz,2016,L,Pickup,Petrol,DCT,229459,2663,good,Certified Pre-Owned,あきる野市,Kanagawa,Japan,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
60,Tesla,Model Y,2020,Limited,Sedan,Electric,Automatic,99326,16076,good,Private Party,Haldia,GJ,India,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True
61,Chevrolet,Trax,2017,Base,Van,Petrol,Manual,140918,5767,like new,Dealer,Wolfratshausen,MV,Germany,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
62,Tata,Altroz,2019,XSE,MPV,Hybrid,Automatic,80039,5324,like new,Dealer,Cape Town,GP,South Africa,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False
63,BMW,5 Series,2017,Touring,Coupe,Petrol,Manual,151797,8697,good,Dealer,Jehanabad,TG,India,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
64,Skoda,Slavia,2007,Performance,Van,CNG,Automatic,362589,1222,excellent,Dealer,Blanchard-sur-Mer,IDF,France,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
65,Ford,Escape,2025,LTZ,Sedan,Petrol,Manual,0,24471,good,Dealer,Bloemfontein,MP,South Africa,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True
66,Hyundai,i20,2016,L,Crossover,Hybrid,Automatic,139008,4602,good,Dealer,Panihati,KL,India,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True
67,Mahindra,Bolero,2022,Touring,Pickup,CNG,Manual,57871,14161,good,Certified Pre-Owned,Martineau,GES,France,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
68,Honda,CR-V,2021,LX,MPV,Petrol,Automatic,60999,9081,fair,Dealer,Port Jeffrey,TAS,Australia,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
69,Honda,Accord,2017,,MPV,Petrol,CVT,106385,2147,salvage,Dealer,Kellyton,WLS,UK,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False
70,BMW,3 Series,2021,SE,Hatchback,Diesel,Manual,60730,13468,good,Dealer,Emmendingen,HB,Germany,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False
71,Mahindra,Bolero,2013,,Convertible,Petrol,Manual,164331,1642,good,Dealer,Novais dos Dourados,MG,Brazil,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True
72,Skoda,Slavia,2015,LE,Convertible,Petrol,Manual,120224,2727,fair,Private Party,St. Marie,WA,Australia,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
73,Tata,Altroz,2013,Trend,Sedan,Hybrid,Manual,164430,1301,good,Dealer,East Rachelville,SA,Australia,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,True
74,Tesla,Model Y,2013,XSE,Sedan,Petrol,Manual,106665,2485,fair,Dealer,Andreafurt,MB,Canada,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False
75,Ford,Escape,2022,,Hatchback,Petrol,Automatic,24401,12286,excellent,Dealer,da Mata,PA,Brazil,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False
76,Maruti,Dzire,2013,Titanium,Van,CNG,CVT,176447,1241,good,Certified Pre-Owned,Gonçalves,SP,Brazil,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False
77,Volkswagen,Taigun,2023,LE,SUV,Petrol,CVT,26824,26173,excellent,Private Party,Bethanchester,NIR,UK,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
78,Tesla,Model 3,2016,Long Range,Sedan,Plug-in Hybrid,Automatic,54053,6267,fair,Dealer,Kevinfort,SA,Australia,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,True,False,False,False,True
79,Ford,Escape,2019,Trend,Hatchback,Petrol,Automatic,45995,6710,good,Dealer,Mendonça,SP,Brazil,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True
80,Audi,A6,2015,Premium,MPV,Petrol,Automatic,253052,3663,excellent,Dealer,利島村,Kanagawa,Japan,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False
81,Tata,Nexon,2023,LTZ,Convertible,Diesel,Manual,24161,18941,good,Dealer,Durgapur,KA,India,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False
82,Audi,Q5,2025,Base,MPV,CNG,DCT,0,46724,good,Private Party,BrunetVille,OCC,France,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True
83,Tesla,Model 3,2018,LE,Hatchback,Hybrid,Manual,94439,6797,excellent,Dealer,Mcconnellburgh,ON,Canada,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True
84,Ford,Explorer,2019,,MPV,Hybrid,Manual,162108,5906,good,Dealer,Gudivada,MH,India,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True,False
85,Tata,Punch,2025,Sport,Hatchback,Petrol,Manual,0,13293,good,Private Party,Martins,CVL,France,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True
86,BMW,X5,2014,LX,Van,Electric,Automatic,80939,4461,fair,Private Party,West Gina,NT,Australia,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
87,Tata,Nexon,2013,LE,Van,Diesel,Automatic,135438,1316,,Private Party,New Robert,QLD,Australia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Mercedes-Benz,E-Class,2012,Long Range,Convertible,Petrol,Automatic,111946,4118,good,Private Party,East James,CA,US,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
89,Chevrolet,Silverado,2007,SE,Convertible,Petrol,Manual,418428,1165,fair,Private Party,Dessau,SH,Germany,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
90,Mercedes-Benz,E-Class,2025,LX,Pickup,Hybrid,CVT,0,58145,fair,Dealer,da Mata,PR,Brazil,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False
91,Audi,Q5,2015,Performance,SUV,Petrol,Automatic,104865,7381,new,Dealer,Bloemfontein,WC,South Africa,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False
92,Toyota,Tacoma,2017,Sport,Hatchback,Hybrid,Automatic,119157,2753,excellent,Certified Pre-Owned,Barbosa do Sul,RS,Brazil,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False
93,Maruti,Ertiga,2017,,Van,Diesel,Manual,133515,3833,good,Dealer,港区,Osaka,Japan,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True
94,Mercedes-Benz,E-Class,2022,XSE,MPV,Petrol,Automatic,76181,21340,,Private Party,Vohenstrauß,RP,Germany,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,True,True
95,Volkswagen,Jetta,2024,,SUV,Petrol,Manual,21763,16389,salvage,Dealer,香取郡多古町,Okinawa,Japan,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,False,True,True,False,False
96,Skoda,Kushaq,2020,Titanium,Hatchback,CNG,Automatic,73820,7645,excellent,Private Party,横浜市旭区,Kyoto,Japan,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,True,False,False,False,False
97,Mahindra,Scorpio,2015,EX,Convertible,Petrol,Automatic,84885,3569,excellent,Private Party,North Rosieberg,SCT,UK,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
98,Mercedes-Benz,GLA,2017,Performance,Hatchback,Petrol,CVT,107550,4382,good,Dealer,East Williamstad,NT,Australia,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
99,Honda,CR-V,2018,LT,Convertible,Hybrid,Manual,104491,9040,good,Private Party,八街市,Aichi,Japan,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True
100,Tesla,Model Y,2018,LE,SUV,Petrol,Automatic,111021,14044,like new,Dealer,君津市,Fukuoka,Japan,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True
101,Tesla,Model Y,2011,Platinum,Coupe,Petrol,Automatic,207073,2514,excellent,Dealer,Clarkburgh,NY,US,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,Volkswagen,Taigun,2020,Titanium,MPV,Petrol,Manual,36932,11355,good,Private Party,Pretoria,GP,South Africa,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False
103,Honda,Accord,2018,LX,Convertible,Petrol,Automatic,174220,5125,,Dealer,Dupont,BFC,France,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
104,Tesla,Model Y,2019,Base,Coupe,CNG,Automatic,59026,12686,fair,Private Party,Almeida do Sul,PR,Brazil,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
105,Kia,Seltos,2017,Base,Convertible,Petrol,Automatic,96941,6015,good,Dealer,da Mata das Pedras,PE,Brazil,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True
106,Audi,A4,2012,LE,SUV,Diesel,Automatic,193189,2593,good,Private Party,Cameronville,QLD,Australia,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
107,Hyundai,Tucson,2020,Sport,Coupe,Petrol,DCT,115848,9143,good,Dealer,国立市,Okinawa,Japan,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
108,Honda,City,2013,Premium,Convertible,CNG,Automatic,171677,1849,fair,Dealer,Kevinview,PA,US,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False
109,Skoda,Kushaq,2021,LTZ,Sedan,Diesel,Manual,45379,11182,good,Dealer,Mendonça Alegre,PR,Brazil,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
110,BMW,X5,2021,,Hatchback,Petrol,Manual,64489,9532,fair,Dealer,Wallsland,AB,Canada,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True
111,Maruti,Wagon R,2024,Titanium,Van,Diesel,Manual,21090,18898,excellent,Private Party,Coulon,ARA,France,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False
112,Volkswagen,Tiguan,2021,L,Hatchback,Petrol,Manual,33224,8684,good,Dealer,East Chad,GA,US,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
113,Ford,Explorer,2006,Performance,Sedan,Plug-in Hybrid,Manual,192499,1249,good,Private Party,West William,NB,Canada,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False
114,Toyota,Camry,2020,LT,Sedan,Petrol,Automatic,57648,9160,good,Dealer,East London,EC,South Africa,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
115,Ford,Escape,2016,Long Range,Van,Petrol,Manual,132442,4271,good,Dealer,Duderstadt,BB,Germany,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False
116,Kia,Seltos,2017,Trend,Pickup,Diesel,Manual,105279,8245,good,Private Party,Orai,PB,India,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False
117,Toyota,Highlander,2010,Base,Sedan,Electric,Automatic,108146,1279,salvage,Dealer,Pretoria,NC,South Africa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,Ford,Explorer,2015,LE,Van,Hybrid,Automatic,255893,2605,excellent,Private Party,武蔵村山市,Osaka,Japan,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
119,Chevrolet,Equinox,2012,Performance,SUV,Petrol,Manual,289558,1186,salvage,Dealer,Jehanabad,KA,India,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,Kia,Sonet,2014,Titanium,Van,Diesel,Manual,180670,2323,like new,Dealer,West Dianastad,PA,US,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
121,Chevrolet,Malibu,2025,LT,Sedan,Hybrid,Automatic,0,13313,salvage,Private Party,North Steven,MA,US,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,True,False,False,False
122,Maruti,Dzire,2022,Titanium,Pickup,Diesel,CVT,70474,15875,,Dealer,Bad Freienwalde,BB,Germany,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False
123,Tesla,Model 3,2012,Limited,Van,Electric,Automatic,122493,3854,good,Dealer,いすみ市,Okinawa,Japan,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
124,Kia,Sonet,2017,Base,Hatchback,Hybrid,Automatic,77534,3971,good,Dealer,East Denisefort,MA,US,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
125,Volkswagen,Jetta,2012,Touring,Crossover,Diesel,Manual,195653,1313,fair,Certified Pre-Owned,Brooksview,WA,Australia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,Skoda,Slavia,2014,LTZ,SUV,Hybrid,Manual,126975,1941,fair,Private Party,Port Danielborough,AB,Canada,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False
127,Maruti,Baleno,2021,Touring,Convertible,Diesel,Automatic,32096,10199,fair,Private Party,Port Bridget,IL,US,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
128,Audi,Q5,2025,XLE,Crossover,Petrol,Manual,0,40111,,Dealer,East London,MP,South Africa,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
129,Chevrolet,Malibu,2019,Touring,Sedan,Petrol,Manual,90354,4990,fair,Dealer,East Tonyland,BC,Canada,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True
130,Toyota,Camry,2018,,Crossover,Petrol,Automatic,85557,6007,fair,Private Party,Raipur,WB,India,False,False,True,False,False,False,True,False,True,True,True,False,False,True,True,True,False,False,False,True
131,Mahindra,Bolero,2018,Trend,SUV,Electric,Automatic,55369,5949,good,Certified Pre-Owned,Kimberlyborough,IL,US,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False
132,Nissan,Rogue,2018,Long Range,Convertible,Petrol,DCT,88608,6437,fair,Private Party,Martinview,NT,Australia,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False
133,Audi,A6,2017,Touring,Crossover,Petrol,Automatic,172180,7940,excellent,Dealer,Bhatpara,RJ,India,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
134,Skoda,Kushaq,2017,LE,Convertible,Diesel,CVT,69874,7901,excellent,Private Party,East James,ACT,Australia,False,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,True
